ix,book,chapter,verse,category
Phm:1:19,Phm,1,19,appeals to authority 
Phm:1:22,Phm,1,22,imperatives
Phm:1:9,Phm,1,9,exhortation
Phm:1:17,Phm,1,17,exhortation
Phm:1:16,Phm,1,16,figurations of groupness
Phm:1:2,Phm,1,2,second person addresses
Phm:1:17,Phm,1,17,first person reflection
1Co:1:8,1Co,1,8,universal claims or assertions such as about the gods
1Co:1:18,1Co,1,18,universal claims or assertions such as about the gods
1Co:1:25,1Co,1,25,universal claims or assertions such as about the gods
1Co:2:14,1Co,2,14,universal claims or assertions such as about the gods
1Co:3:19,1Co,3,19,universal claims or assertions such as about the gods
1Co:3:22,1Co,3,22,universal claims or assertions such as about the gods
1Co:4:5,1Co,4,5,universal claims or assertions such as about the gods
1Co:4:20,1Co,4,20,universal claims or assertions such as about the gods
1Co:6:13,1Co,6,13,universal claims or assertions such as about the gods
1Co:6:17,1Co,6,17,universal claims or assertions such as about the gods
1Co:6:18,1Co,6,18,universal claims or assertions such as about the gods
1Co:7:10,1Co,7,10,universal claims or assertions such as about the gods
1Co:7:14,1Co,7,14,universal claims or assertions such as about the gods
1Co:7:19,1Co,7,19,universal claims or assertions such as about the gods
1Co:7:24,1Co,7,24,universal claims or assertions such as about the gods
1Co:7:31,1Co,7,31,universal claims or assertions such as about the gods
1Co:7:39,1Co,7,39,universal claims or assertions such as about the gods
1Co:8:4,1Co,8,4,universal claims or assertions such as about the gods
1Co:8:6,1Co,8,6,universal claims or assertions such as about the gods
1Co:8:8,1Co,8,8,universal claims or assertions such as about the gods
1Co:10:1,1Co,10,1,universal claims or assertions such as about the gods
1Co:10:13,1Co,10,13,universal claims or assertions such as about the gods
1Co:10:17,1Co,10,17,universal claims or assertions such as about the gods
1Co:11:8,1Co,11,8,universal claims or assertions such as about the gods
1Co:11:11,1Co,11,11,universal claims or assertions such as about the gods
1Co:11:27,1Co,11,27,universal claims or assertions such as about the gods
1Co:12:4,1Co,12,4,universal claims or assertions such as about the gods
1Co:12:13,1Co,12,13,universal claims or assertions such as about the gods
1Co:12:18,1Co,12,18,universal claims or assertions such as about the gods
1Co:12:27,1Co,12,27,universal claims or assertions such as about the gods
1Co:12:28,1Co,12,28,universal claims or assertions such as about the gods
1Co:15:39,1Co,15,39,universal claims or assertions such as about the gods
1Co:15:42,1Co,15,42,universal claims or assertions such as about the gods
1Co:15:50,1Co,15,50,universal claims or assertions such as about the gods
1Co:15:51,1Co,15,51,universal claims or assertions such as about the gods
1Co:1:1,1Co,1,1,appeals to authority 
1Co:1:6,1Co,1,6,appeals to authority 
1Co:1:17,1Co,1,17,appeals to authority 
1Co:1:19,1Co,1,19,appeals to authority 
1Co:1:31,1Co,1,31,appeals to authority 
1Co:2:7,1Co,2,7,appeals to authority 
1Co:2:9,1Co,2,9,appeals to authority 
1Co:2:16,1Co,2,16,appeals to authority 
1Co:3:10,1Co,3,10,appeals to authority 
1Co:3:19,1Co,3,19,appeals to authority 
1Co:4:1,1Co,4,1,appeals to authority 
